trial_number,param_C,param_penalty,param_l1_ratio,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
0,0.0317784000688407,l1,0.21740471265369044,"[0.8597355824192112, 0.8827231403247816, 0.8854791248179614, 0.9230529805118565, 0.9057637701796165]","[0.6874580685523238, 0.6199920489462301, 0.6518594452255948, 0.6434010765995754, 0.6495980982490847]","[0.986816908915542, 0.9967762511704439, 0.9974023553184712, 0.9976581710071464, 0.9973587922729046]","[2.534010559887077, 2.4994914404414557, 2.534740925362027, 2.564112228118578, 2.5527206607016057]",0.8913509196506855,0.6504617475145617,0.9952024957369016,2.5370151629021485,0.021923244045744538
1,0.0003581224678700232,elasticnet,0.5310533872026856,"[0.6199124557063963, 0.5693990423162179, 0.6313715020178998, 0.6519589829785951, 0.6578168744951947]","[0.16070922390032952, 0.20412840363042378, 0.16808332275929294, 0.2589113864550952, 0.2213105777596045]","[0.9621573844750536, 0.9228180350656622, 0.9244270754639226, 0.9240195097123893, 0.9549903058095911]","[1.7427790640817795, 1.6963454810123038, 1.7238819002411154, 1.8348898791460797, 1.8341177580643904]",0.6260917715028608,0.20262858290094918,0.9376824621053238,1.7664028165091339,0.05753248006892267
2,0.032746665712253896,elasticnet,0.12191007455834094,"[0.8149157457915167, 0.7892072070054058, 0.8748553122653135, 0.7834754266102852, 0.8383916065599459]","[0.523017132142427, 0.5081743591154761, 0.47350986465053796, 0.4918597166477187, 0.48339775929820733]","[0.9890975059152699, 0.9870384749922967, 0.9958665563317216, 0.965078949415057, 0.9867956825104963]","[2.3270303838492135, 2.2844200411131785, 2.344231733247573, 2.240414092673061, 2.3085850483686494]",0.8201690596464933,0.4959917663708734,0.9847754338329683,2.300936259850335,0.03619288187189623
3,1.053913726828944,l2,0.25848119126790303,"[0.9113208500425694, 0.9414270467398056, 0.9329622705132948, 0.9310678573554856, 0.9209204155702286]","[0.6587826239301401, 0.7377462068842138, 0.7845886805867154, 0.6641801709531072, 0.7199063811105976]","[0.994520853096037, 0.998967080931149, 0.9990170018010369, 0.9989384986542297, 0.9978451269823531]","[2.5646243270687465, 2.6781403345551684, 2.7165679529010474, 2.5941865269628224, 2.6386719236631793]",0.9275396880442768,0.7130408126929548,0.9978577122929613,2.638438213030193,0.05493135863432799
4,6.37481244865722,l1,0.8011113218368306,"[0.8814738934712417, 0.9452453848402331, 0.9318243570077867, 0.9665811787942075, 0.9587566330480262]","[0.7607675106405831, 0.7996103145428138, 0.8010907064779524, 0.8148899916731203, 0.7863895246833406]","[0.9982240941903129, 0.9995742231803629, 0.9996251197886413, 0.9996860250595777, 0.9996595349608023]","[2.6404654983021376, 2.74442992256341, 2.7325401832743803, 2.781157195526905, 2.744805692692169]",0.936776289432299,0.792549609603562,0.9993537994359395,2.7286796984718,0.04702904081561539
5,23.315244870014098,elasticnet,0.8025140027435306,"[0.9141269058224536, 0.9593817111409547, 0.9501658704121531, 0.9695363934894706, 0.955611463539924]","[0.7706477704978858, 0.7911952249222352, 0.8154614516705735, 0.7665543580457324, 0.773484633539031]","[0.9986942275342848, 0.9997280685408628, 0.9996822268837297, 0.9996124876986928, 0.9997078693655994]","[2.683468903854624, 2.7503050046040527, 2.765309548966456, 2.735703239233896, 2.7288039664445543]",0.9497644688809912,0.7834686877350915,0.9994849760046339,2.7327181326207164,0.027644950996452027
6,0.0003891177150213837,l2,0.6535016911603787,"[0.7689793157039497, 0.7408365872845332, 0.8508270514726958, 0.8511190637266489, 0.8785455499681837]","[0.4275633824513956, 0.40361628991310217, 0.43601244705034814, 0.49990262590913814, 0.4628287839270158]","[0.9795219638662627, 0.9542283519649025, 0.9669767903361333, 0.9938583407975722, 0.9946838257630732]","[2.176064662021608, 2.098681229162538, 2.253816288859177, 2.3448800304333592, 2.336058159658273]",0.8180615136312023,0.44598470585019995,0.9778538545455888,2.241900074026991,0.09429586595960497
7,0.007817966155968572,l2,0.700115451955974,"[0.7307066559980632, 0.739976671137767, 0.7161871712618947, 0.7526540870195941, 0.7327120562024304]","[0.5200235924371068, 0.4363874685769024, 0.4370835234513207, 0.42451162400293996, 0.4404803000481065]","[0.9845183724143648, 0.9674210706022791, 0.9262768085119549, 0.9392368577715874, 0.9710629179597362]","[2.235248620849535, 2.1437852103169486, 2.0795475032251702, 2.1164025687941215, 2.144255274210273]",0.7344473283239499,0.4516973017032752,0.9577032054519845,2.1438478354792094,0.051462702777717056
8,85.73665457635487,elasticnet,0.18258080526211362,"[0.8914033789362533, 0.9445667681714545, 0.9182870667454129, 0.9624403079943511, 0.9507218754474184]","[0.8013545108139241, 0.7778131243421256, 0.806309752587085, 0.7715270277707833, 0.7878951031998794]","[0.9984551140059524, 0.999678533204326, 0.9996836004862171, 0.9995192696343911, 0.9995908075727408]","[2.69121300375613, 2.722058425717906, 2.724280419818715, 2.7334866053995253, 2.7382077862200385]",0.933483879458978,0.7889799037427594,0.9993854649807256,2.721849248182463,0.01641684301588213
9,0.048681186765380434,l1,0.20402285769462214,"[0.8805957194498037, 0.8841198047245714, 0.9099237134048963, 0.9501677747918642, 0.9038693447450197]","[0.6843164373724366, 0.7338563952449055, 0.6632212005972802, 0.578952214849963, 0.6615078577401872]","[0.9939972277786521, 0.9973856165949371, 0.998049383091434, 0.9984552686469047, 0.996408796130439]","[2.5589093846008923, 2.6153618165644144, 2.5711942970936104, 2.527575258288732, 2.5617859986156457]",0.9057352714232311,0.6643708211609545,0.9968592584484733,2.566965351032659,0.028296309136484125
10,91.08032328861756,elasticnet,0.8737562255633854,"[0.8796356397684147, 0.954304695369793, 0.9450676364142444, 0.970953364947357, 0.9521394386521913]","[0.7796931330264857, 0.7553483636718326, 0.8053949273235459, 0.7845004710643575, 0.7822923310633297]","[0.9990307145560906, 0.9993684464665953, 0.9995166101176036, 0.9997265705608317, 0.9994367419471911]","[2.658359487350991, 2.709021505508221, 2.749979173855394, 2.755180406572546, 2.733868511662712]",0.9404201550304002,0.7814458452299103,0.9994158167296625,2.721281816989973,0.035328776809734265
11,2.952748977168216,l1,0.8871733475279586,"[0.902303789511434, 0.938277027009834, 0.946465462058775, 0.9663409809789316, 0.9345046352087394]","[0.7509315162831186, 0.7389664590297216, 0.8057763037764435, 0.7758873366877332, 0.7870190964377692]","[0.9984648603167497, 0.9991845443618899, 0.9997059572350919, 0.9994941313968775, 0.9994628072966389]","[2.6517001661113024, 2.6764280304014454, 2.7519477230703107, 2.741722449063542, 2.720986538943148]",0.9375783789535429,0.7717161424429573,0.9992624601214496,2.7085569815179498,0.03847639677984442
12,4.614677282138173,l1,0.7700401084862637,"[0.9205169497547704, 0.9416277493505715, 0.9435612030020937, 0.9607812880101828, 0.9427184207900347]","[0.7353379938803585, 0.8096233336914996, 0.7946840205828568, 0.8298541255611503, 0.6672870245000513]","[0.9975188715772334, 0.9997507633357979, 0.9994987587993535, 0.999334933330165, 0.998853533771564]","[2.6533738152123623, 2.751001846377869, 2.737743982384304, 2.789970346901498, 2.60885897906165]",0.9418411221815306,0.7673572996431833,0.9989913721628227,2.708189793987537,0.06673197590285865
13,19.71521919585287,l1,0.5034701924957159,"[0.9039162489019847, 0.9335082393449295, 0.9149232069234857, 0.9698440416260523, 0.9371399210904943]","[0.7692525863311992, 0.8057242027603917, 0.7733403674740077, 0.7845004927835523, 0.77224804689783]","[0.9990122090554729, 0.999401119847066, 0.9994535306781158, 0.9996870948040961, 0.9995396362793084]","[2.672181044288657, 2.738633561952387, 2.6877171050756092, 2.754031629213701, 2.7089276042676325]",0.9318663315773893,0.7810131392493961,0.9994187181328119,2.7122981889595974,0.03052935547547222
14,0.6877215425027009,elasticnet,0.36431165692876755,"[0.849230072257927, 0.913392061837117, 0.933011161653055, 0.9156886101787545, 0.911182507610651]","[0.6363751535642933, 0.6469399182383095, 0.733760960494666, 0.7177530718799768, 0.682513437706465]","[0.9956196918218275, 0.998026951255933, 0.9987747939358352, 0.9987430421869948, 0.9980546372096368]","[2.481224917644048, 2.5583589313313597, 2.665546916083556, 2.632184724245726, 2.591750582526753]",0.9045008827075008,0.6834685083767422,0.9978438232820455,2.5858132143662886,0.06361679326550701
15,9.214771112880472,elasticnet,0.6201526421199919,"[0.8955518936623454, 0.9266627115987434, 0.9450985467689733, 0.9731535099717771, 0.9429047483336638]","[0.7667504856822888, 0.7547892451374507, 0.7196360492285392, 0.7259429445617, 0.7998162887973599]","[0.9987931837229701, 0.9995583792895826, 0.9991990270471883, 0.9994623766824117, 0.9995209837619146]","[2.6610955630676045, 2.6810103360257767, 2.663933623044701, 2.698558831215889, 2.742242020892938]",0.9366742820671006,0.7533870026814677,0.9993067901008136,2.689368074849382,0.02965205636074626
16,0.48332347402217707,l1,0.7822810070558327,"[0.8846058094862442, 0.9451908713108506, 0.9207554658898337, 0.9463660730987996, 0.9481080804750587]","[0.7556651801683567, 0.7720868365630912, 0.7098136278630826, 0.8116274020991082, 0.7322780528449845]","[0.9974452305309753, 0.9995035275759061, 0.9994544467280275, 0.9994789738021252, 0.9990663114104072]","[2.6377162201855766, 2.716781235449848, 2.630023540480944, 2.757472449000033, 2.67945244473045]",0.9290052600521573,0.7562942199077246,0.9989896980094883,2.68428917796937,0.04805979349777301
17,24.888346865489304,elasticnet,0.7919935458962301,"[0.9026999256400164, 0.937677558749186, 0.9277790243887977, 0.9463900233495885, 0.9398331004340857]","[0.7636230161627766, 0.7108074490457696, 0.7830874201896626, 0.7971827834181435, 0.7890543661133589]","[0.9988650951450703, 0.9994343953859428, 0.9996415649904032, 0.9996378991570489, 0.9994414731074792]","[2.6651880369478635, 2.6479194031808984, 2.7105080095688634, 2.7432107059247812, 2.728328939654924]",0.930875926512335,0.7687510069859422,0.9994040855571888,2.6990310190554663,0.036605133273387644
18,0.2932001936719564,l1,0.40927329505468996,"[0.8826483196584871, 0.9379554213944149, 0.9275724709706565, 0.9417848426936486, 0.9491135225316236]","[0.686934707802293, 0.7528635926143664, 0.7308791225413833, 0.6885089081602583, 0.7924370042555883]","[0.9986423720155081, 0.99903193099987, 0.9992694167295029, 0.9988452259887177, 0.9992078717104151]","[2.568225399476288, 2.689850945008651, 2.6577210102415427, 2.6291389768426248, 2.740758398497627]",0.9278149154497661,0.7303246670747778,0.9989993634888027,2.657138946013347,0.057883060634635455
19,0.002919007355389339,l2,0.6104314423456825,"[0.5725710451614456, 0.7096385462386147, 0.8179566884766154, 0.7139647808084844, 0.6685523579317554]","[0.47919252546159075, 0.4538973839356216, 0.47663042939697453, 0.4208869817743829, 0.39433868930514115]","[0.9481240077038009, 0.9345554555401917, 0.9810928342942082, 0.9449013895262354, 0.9093614903774819]","[1.9998875783268373, 2.098091385714428, 2.275679952167798, 2.079753152109103, 1.9722525376143785]",0.6965366837233831,0.44498920197474223,0.9436070354883836,2.085132921186509,0.10631442442931836
20,1.9125962218619508,elasticnet,0.7058796783063315,"[0.8827550814831656, 0.9123852203866779, 0.9109512992934373, 0.9627051166537328, 0.9488793578758521]","[0.7379782158532187, 0.7703808722721069, 0.7925223774815339, 0.7421529127901249, 0.7769612209785249]","[0.9982866183792778, 0.9992891318404249, 0.9985525047010071, 0.999354452738888, 0.9992611928018192]","[2.619019915715662, 2.6820552244992095, 2.7020261814759783, 2.704212482182746, 2.7251017716561963]",0.9235352151385732,0.7639991198751018,0.9989487800922834,2.6864831151059585,0.03638188420099142
21,83.26685924616774,elasticnet,0.4100068805456726,"[0.8683503062188035, 0.9551631171921057, 0.9307802459006881, 0.9384676151946456, 0.9453358514600719]","[0.7717626518052896, 0.8151735267107576, 0.7889109006853378, 0.7656267796152936, 0.7686468275566304]","[0.9988532759900746, 0.9996405506773748, 0.9996287034613421, 0.9993585158123497, 0.9994767335397128]","[2.638966234014168, 2.769977194580238, 2.719319850047368, 2.703452910622289, 2.713459412556415]",0.927619427193263,0.7820241372746618,0.9993915558961708,2.7090351203640957,0.04190488357160157
22,35.659701553327615,elasticnet,0.3247020493261914,"[0.8815106137563583, 0.9495866818501759, 0.932071210865704, 0.9646005695678999, 0.9222185455867451]","[0.7641237366530444, 0.7807797665274387, 0.8044122048490128, 0.7893676041208064, 0.7701829589845264]","[0.9991181244620256, 0.9993787394555799, 0.9996922825495558, 0.9995429028166062, 0.9993219511610795]","[2.6447524748714284, 2.7297451878331946, 2.7361756982642724, 2.7535110765053123, 2.691723455732351]",0.9299975243253765,0.7817732542269658,0.9994108000889694,2.7111815786413116,0.0388652656396027
23,10.556503829525466,elasticnet,0.5667606458208736,"[0.910811183073537, 0.9359934104939747, 0.9573686248486633, 0.969908999367473, 0.9539893087427285]","[0.7486135093714317, 0.7225509084222481, 0.7371921023970064, 0.7753740687983165, 0.7730871895140926]","[0.9986724275295861, 0.9991537357836521, 0.9995192536421993, 0.999616012889455, 0.9995906087892865]","[2.658097119974555, 2.6576980546998747, 2.694079980887869, 2.7448990810552445, 2.7266671070461075]",0.9456143053052752,0.7513635557006191,0.9993104077268358,2.6962882687327303,0.03532288178985814
24,6.029215049170502,elasticnet,0.10241708863811336,"[0.9192757807458872, 0.9473870392484633, 0.9345667978604293, 0.9492889815687563, 0.9590342435774114]","[0.7253896531601312, 0.6887451116231158, 0.7789036171982333, 0.7364488739460444, 0.792138342720828]","[0.9969025238172516, 0.999445634949889, 0.9995831665309926, 0.9994403886983662, 0.9993359473091931]","[2.6415679577232702, 2.635577785821468, 2.713053581589655, 2.685178244213167, 2.7505085336074324]",0.9419105686001895,0.7443251197296705,0.9989415322611384,2.6851772205909983,0.04337543936688141
25,99.49383696296695,l1,0.830231756107921,"[0.8819985160231206, 0.9343160963086672, 0.939163317175501, 0.9669885239607356, 0.9520560508395858]","[0.7474052225360726, 0.8100485089728882, 0.79535333080526, 0.7726742570446339, 0.7481888802473413]","[0.9983761655519988, 0.9995836515601322, 0.9996016573426454, 0.9996300627792221, 0.999376796332647]","[2.627779904111192, 2.7439482568416875, 2.734118305323406, 2.7392928437845914, 2.699621727419574]",0.9349045008615221,0.7747340399212392,0.9993136667133291,2.7089522074960906,0.043484734919998894
26,32.77560844178039,elasticnet,0.7358036307723868,"[0.8943173084922152, 0.9497833517023622, 0.9483780618285053, 0.9625543415136714, 0.9559240381998413]","[0.7538541099102473, 0.8116092112814903, 0.8096272910448219, 0.7651144190946867, 0.8016110200292537]","[0.9990693438196077, 0.9997038078110472, 0.9998174751978425, 0.999299684319465, 0.9994934395084865]","[2.6472407622220704, 2.7610963707949, 2.75782282807117, 2.726968444927823, 2.7570284977375814]",0.9421914203473192,0.7883632102720999,0.9994767501312898,2.730031380750709,0.043197015101565026
27,12.359392557017712,elasticnet,0.7145392424570005,"[0.8680755985963415, 0.9230569609010664, 0.9413745774179649, 0.9544901554729657, 0.9483830143814633]","[0.7949782938034246, 0.7756802419797587, 0.727059481787198, 0.7308034093008433, 0.8036405213970648]","[0.9988721943152121, 0.9992857274487227, 0.999453809692056, 0.9995638096704599, 0.9994573745726085]","[2.6619260867149785, 2.6980229303295475, 2.667887868897219, 2.684857374444269, 2.7514809103511366]",0.9270760613539604,0.7664323896536579,0.9993265831398119,2.69283503414743,0.03196128971815667
28,1.5226700958751846,l2,0.8395561189986107,"[0.8572504100334225, 0.9142741548665684, 0.9407118180680536, 0.9583084389039277, 0.911983005359607]","[0.7126590877653841, 0.6439589722550291, 0.7208589250819089, 0.7782254467970247, 0.6710867876543687]","[0.9979719581749097, 0.9979275731414784, 0.9991187005983879, 0.9993693551720252, 0.997962528834798]","[2.5678814559737164, 2.5561607002630757, 2.6606894437483506, 2.7359032408729775, 2.581032321848774]",0.9165055654463158,0.7053578439107431,0.9984700231843199,2.6203334325413787,0.0684089394069656
29,0.11450473853869768,l1,0.7395056644666023,"[0.9014281957054854, 0.9317869749364256, 0.9494023901744458, 0.9541926219920827, 0.9437157450564014]","[0.6551394958998524, 0.7210641877063434, 0.6279729244838295, 0.6370415857858583, 0.5597643375055494]","[0.9946746789633002, 0.9984763170831243, 0.9987221594865336, 0.9992792689244453, 0.9972222674689859]","[2.551242370568638, 2.6513274797258934, 2.576097474144809, 2.5905134767023865, 2.5007023500309367]",0.9361051855729681,0.6401965062762868,0.9976749383852779,2.5739766302345326,0.04928911824924384
30,34.693542295461896,l1,0.6599721605228083,"[0.9147588020975235, 0.9485651821228943, 0.9446353976044028, 0.9668099043205338, 0.9650261049722704]","[0.7654097930245349, 0.7902702262625364, 0.8215717435474889, 0.8069887167510505, 0.8002843653299032]","[0.9990009740624919, 0.9996203087528354, 0.9997767485363538, 0.9996563134319898, 0.9996078346780002]","[2.67916956918455, 2.738455717138266, 2.765983889688245, 2.773454934503574, 2.7649183049801738]",0.9479590782235249,0.7969049689831028,0.9995324358923341,2.744396483098962,0.03470273157435098
31,28.927095762067715,l1,0.6788067115363161,"[0.8930053088288739, 0.9343799289659112, 0.9335983372944895, 0.959524930674441, 0.9474401678627673]","[0.7635535362620748, 0.7757628322156556, 0.7882834958618922, 0.7562431345179399, 0.7585506794538616]","[0.9987953967493126, 0.999547472936278, 0.9995335027944304, 0.9996628580855219, 0.99958444955494]","[2.6553542418402616, 2.709690234117845, 2.721415335950812, 2.715430923277903, 2.7055752968715687]",0.9335897347252965,0.7684787356622849,0.9994247360240965,2.701493206411678,0.02368041373911319
